Current_Chord,Next_Chord,Count,Probability
#4m7,#4m6,1,0.0045045045045045045
#4m7,77#9,1,0.0045045045045045045
#4m7,37,1,0.0045045045045045045
#4m7,2m6,1,0.0045045045045045045
#4m7,6m7,1,0.0045045045045045045
#4m7,713,1,0.0045045045045045045
#4m7,713b9,1,0.0045045045045045045
#4m7,37b9,1,0.0045045045045045045
#4m7,47#11,1,0.0045045045045045045
#4m7,77b13,1,0.0045045045045045045
#4m7,b2Maj,1,0.0045045045045045045
#4m7,b3m7b5,1,0.0045045045045045045
#4m7(Bb7),77,1,1.0
#4m7(C7#11),77,1,1.0
#4m7(F7),77b9,2,1.0
#4m7b5,77b9,117,0.42700729927007297
#4m7b5,77,50,0.18248175182481752
#4m7b5,47,21,0.07664233576642336
#4m7b5,4m6,19,0.06934306569343066
#4m7b5,77b13,17,0.06204379562043796
#4m7b5,4m7,16,0.058394160583941604
#4m7b5,77#9,3,0.010948905109489052
#4m7b5,4maj7,3,0.010948905109489052
#4m7b5,47#11,3,0.010948905109489052
#4m7b5,57,2,0.0072992700729927005
#4m7b5,47b5,2,0.0072992700729927005
#4m7b5,7m7,2,0.0072992700729927005
#4m7b5,7m7b5,2,0.0072992700729927005
#4m7b5,#4m7,2,0.0072992700729927005
#4m7b5,4m,2,0.0072992700729927005
#4m7b5,7maj7#11,1,0.0036496350364963502
#4m7b5,77b9#5,1,0.0036496350364963502
#4m7b5,2m7b5,1,0.0036496350364963502
#4m7b5,49,1,0.0036496350364963502
#4m7b5,77#5,1,0.0036496350364963502
#4m7b5,77alt,1,0.0036496350364963502
#4m7b5,49#11,1,0.0036496350364963502
#4m7b5,713b9,1,0.0036496350364963502
#4m7b5,1maj7,1,0.0036496350364963502
#4m7b5,77sus,1,0.0036496350364963502
#4m7b5,2m7,1,0.0036496350364963502
#4m7b5,b207,1,0.0036496350364963502
#4m7b5,407,1,0.0036496350364963502
#4m7b5(Bbmaj7),4m7,1,1.0
#4m7b5(Dm7b5),77b9(G7b9),1,0.5
#4m7b5(Dm7b5),77b13(G7b9),1,0.5
#4m7b5(Fm7),57,2,1.0
#4m7b5(Fmaj7),47#11,2,1.0
#4m7b5(Gm7),4maj7#11(Am7b5),1,1.0
#4m9,17#5#9,2,0.4
#4m9,7m9,1,0.2
#4m9,#4m,1,0.2
#4m9,59,1,0.2
#4maj7,5maj7,3,0.0967741935483871
#4maj7,67,3,0.0967741935483871
#4maj7,6maj7,2,0.06451612903225806
#4maj7,7maj7,2,0.06451612903225806
#4maj7,1m7,2,0.06451612903225806
#4maj7,4m7,2,0.06451612903225806
#4maj7,b3m7,2,0.06451612903225806
#4maj7,b2maj9,2,0.06451612903225806
#4maj7,1maj7#5,2,0.06451612903225806
#4maj7,5m7,1,0.03225806451612903
#4maj7,7maj7#11,1,0.03225806451612903
#4maj7,2m7,1,0.03225806451612903
#4maj7,#4m7,1,0.03225806451612903
